id;aktywnosc;obecny_status;fala;rodzina;tryb_naprawy;pakiet_do_przygotowania;blokada_z_audytu;najblizsza_akcja
A014;Wieża z butów;SZKIELET;FALA S2 - decyzja: przepisać albo odrzucić;ryzykowne aktywności bez materiałów;przepisać szkielet;decyzja redakcyjna + bezpieczny zamiennik materiałów + zasady zgody i higieny;"Da się zrobić bez materiałów, ale ryzyko higieny i oporu uczniów jest zbyt duże; wymaga alternatywnych przedmiotów i zasad zgody.";"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A016;Kieszonkowy budżet miesiąca;PAKIET;FALA 1 - najpierw opracować do pełnych kart;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje gotowego profilu osoby, listy kosztów, budżetu startowego i przykładowych cięć.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A017;Najlepszy abonament;PAKIET;FALA 1 - najpierw opracować do pełnych kart;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje 4 fikcyjnych ofert, profilu klienta i macierzy punktów.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A018;Wypłata netto sprint;PAKIET;FALA 2 - opracować po pierwszej paczce;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje uproszczonego paska wypłaty oraz klucza odpowiedzi.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A019;Awaria budżetu;PAKIET;FALA 1 - najpierw opracować do pełnych kart;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje kart wydatków, profilu osoby i kart awarii.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A020;Mini firma za 200 zł;PAKIET;FALA 2 - opracować po pierwszej paczce;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje karty kosztów, cennika materiałów i kryteriów oceny zysku.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A021;Kawiarenka z marżą;PAKIET;FALA 2 - opracować po pierwszej paczce;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje kosztów składników, przykładowego popytu i modelu liczenia marży.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A022;Licytacja zasobów;PAKIET;FALA 2 - opracować po pierwszej paczce;negocjacje, role i gry decyzyjne;opracować pakiet;karty ról/interesów + zasady wymiany + punktacja + wzór wyniku;Brakuje kart zasobów, celów i tabeli punktacji.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A023;Rynek wymiany;PAKIET;FALA 2 - opracować po pierwszej paczce;negocjacje, role i gry decyzyjne;opracować pakiet;karty ról/interesów + zasady wymiany + punktacja + wzór wyniku;Brakuje kompletu zasobów, celów, zasad handlu i warunku zwycięstwa.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A024;Oszczędnościowy zestaw ratunkowy;PAKIET;FALA 2 - opracować po pierwszej paczce;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje listy wydatków, profilu pracownika i gotowej karty decyzji.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A025;Detektor oszustwa;PAKIET;FALA 1 - najpierw opracować do pełnych kart;informacja, argumentacja i komunikaty;opracować pakiet;neutralne materiały wejściowe + kryteria oceny + przykład dobrej odpowiedzi;Brakuje 6 fikcyjnych wiadomości/screenów oraz klucza sygnałów ostrzegawczych.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A026;Subskrypcje zjadają wypłatę;PAKIET;FALA 2 - opracować po pierwszej paczce;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje listy opłat i modelowego budżetu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A027;Zakup telefonu używanego;PAKIET;FALA 2 - opracować po pierwszej paczce;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje fikcyjnych ogłoszeń oraz kryteriów oceny ryzyka.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A028;Trasa dostawy;PAKIET;FALA 1 - najpierw opracować do pełnych kart;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje mapy, kart dostaw, kosztów trasy i przykładowego rozwiązania.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A029;Ewakuacja po zmianie planu;PAKIET;FALA 2 - opracować po pierwszej paczce;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje schematu obiektu, ograniczeń i zasad oceny planu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A030;Awaria w warsztacie;PAKIET;FALA 1 - najpierw opracować do pełnych kart;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje opisu zakładu, listy awarii, zasobów i kryteriów priorytetu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A031;Misja księżycowa 15 rzeczy;PAKIET;FALA 1 - najpierw opracować do pełnych kart;alokacja zasobów i priorytety;opracować pakiet;lista zasobów/kandydatów + zdarzenie kryzysowe + model punktacji;"Brakuje listy 15 rzeczy i modelu porównawczego; bez tego nie ma wyniku.";Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A032;Baza odcięta od świata;PAKIET;FALA 2 - opracować po pierwszej paczce;alokacja zasobów i priorytety;opracować pakiet;lista zasobów/kandydatów + zdarzenie kryzysowe + model punktacji;Brakuje 12 kart kandydatów i karty awarii sprawdzającej wybór.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
