id;robocza_nazwa;krotki_opis;glowny_mechanizm;kategoria;kompetencje;liczba_osob;optymalna_wielkosc_zespolu;czas;materialy;poziom_przygotowania;potencjal_zainteresowania;konkretnosc_efektu;rzeczywista_wspolpraca;grupa_16;grupa_30;ryzyko_chaosu;zwrot_akcji_mozliwy;przykladowy_zwrot_akcji;odpowiedz_po_co;source_type;zrodlo_inspiracji;url;adaptacja_bs_technikum;ryzyka;status;score
A001;Wieża z 3 kartek;Zespoły budują jak najwyższą stojącą wieżę z 3 kartek i taśmy. Wynik mierzy się wysokością i testem stabilności.;limit materiałów -> prototyp -> test -> poprawa;konstruowanie|rywalizacja;współpraca|planowanie|testowanie;16-30;4-5;35-45 min;kartki A4, taśma, nożyczki;2;5;5;4;TAK;TAK;3;TAK;po 10 min odebrać jedną kartkę albo dodać test wiatru;Macie zbudować najwyższą wieżę, która naprawdę ustoi.;STEM;S005 TeachEngineering Paper Tower;https://www.teachengineering.org/activities/view/ced-2670-newspaper-towers-engineering-design-activity;Dać ton ekipy technicznej i pomiar wyniku;cięcie taśmy, bałagan;STRONG CANDIDATE;19
A002;Most za grosze;Zespoły projektują most z papieru i taśmy, który utrzyma jak największy ciężar między dwiema ławkami.;ograniczone zasoby -> konstrukcja -> test obciążenia;konstruowanie|optymalizacja;projektowanie|współpraca|logika;16-30;4-5;45 min;papier, taśma, monety lub książki;2;5;5;4;TAK;TAK;3;TAK;po 15 min zwiększyć rozstaw podpór;Macie sprawdzić, czy wasz most utrzyma realny ciężar.;STEM;S004 Science Buddies Paper STEM;https://www.sciencebuddies.org/blog/paper-science-activities;Dobre dla technikum przez język konstrukcyjny;upadek obciążenia;STRONG CANDIDATE;19
A003;Wysięgnik bez dotykania;Zespół buduje wysięgnik z papieru, który sięga jak najdalej poza krawędź biurka bez przewrócenia.;prototyp -> pomiar zasięgu -> iteracja;konstruowanie|optymalizacja;planowanie|testowanie|kreatywność;16-30;4-5;35 min;papier, taśma, linijka;2;4;5;4;TAK;TAK;3;TAK;po pierwszym teście doliczyć punkty za najmniejszą masę;Macie uzyskać najdłuższy stabilny wysięgnik.;STEM;S003 DiscoverE;https://discovere.org/student-activities/times/45-minutes-or-less/;Mocno techniczne, mało szkolne;spory o pomiar;STRONG CANDIDATE;17
A004;Tor dla kulki;Zespoły budują papierowy tor, po którym kulka lub zwinięty papier ma jechać jak najdłużej bez zatrzymania.;konstrukcja -> test czasu przejazdu -> poprawa;konstrukcje|gry i rywalizacja;eksperymentowanie|planowanie|komunikacja;16-30;4-5;45 min;papier, taśma, kulka lub zwitek papieru;2;5;5;4;TAK;TAK;4;TAK;po 10 min wprowadzić zakaz dotykania podłogi przez tor;Macie spowolnić przejazd i wygrać czasem toru.;STEM;S004 Science Buddies Ball Run;https://www.sciencebuddies.org/blog/paper-science-activities;Dobre dla klas praktycznych, widac efekt;chaos przy testach;STRONG CANDIDATE;18
A005;Chwytak ratunkowy;Zespoły budują narzędzie z papieru i taśmy do podniesienia przedmiotu z odległości bez dotykania ręką.;problem -> prototyp narzędzia -> test podniesienia;konstruowanie|misja;projektowanie|manualność|współpraca;16-30;4-5;40 min;papier, taśma, mały przedmiot;2;5;5;4;TAK;TAK;3;TAK;zmienić przedmiot na cięższy lub mniejszy;Macie zbudować chwytak, który faktycznie podniesie cel.;STEM;S004 Science Buddies Ping Pong Pickup;https://www.sciencebuddies.org/blog/paper-science-activities;Pasuje do zawodowych skojarzeń z narzędziami;rzucanie przedmiotami;STRONG CANDIDATE;19
A006;Lotnisko cargo;Zespoły budują samolot papierowy, który ma doleciec jak najdalej z ładunkiem z monet lub spinaczy.;prototyp -> lot testowy -> modyfikacja;projektowanie|optymalizacja;testowanie|analiza|rywalizacja;16-30;4-5;35 min;papier, spinacze lub monety;1;5;5;3;TAK;TAK;3;TAK;po pierwszym locie zmienić punktacje na dokładność lądowania;Macie dostarczyć ładunek dalej albo celniej niż inni.;STEM;S003 DiscoverE;https://discovere.org/student-activities/times/45-minutes-or-less/;Proste, szybkie, z mierzalnym wynikiem;latanie po sali;STRONG CANDIDATE;18
A007;Helikopter awaryjny;Zespoły projektują papierowy rotor, który spada jak najwolniej z ustalonej wysokości.;konstrukcja -> pomiar czasu -> iteracja;STEM|optymalizacja;eksperyment|wnioskowanie|współpraca;16-30;4-5;35 min;papier, nożyczki, stoper;1;4;5;3;TAK;TAK;3;TAK;po 15 min liczyć dodatkowo celność lądowania;Macie zrobić wirnik, który najdłużej utrzyma się w powietrzu.;STEM;S004 Science Buddies Paper STEM;https://www.sciencebuddies.org/blog/paper-science-activities;Dobry szybki test bez teorii fizyki;bieganie po klasie;Kandydat;16
A008;Łańcuch z jednej kartki;Zespoły tną jedną kartkę tak, by uzyskać najdłuższy łańcuch utrzymujący się w jednym kawałku.;ograniczenie materiału -> optymalizacja -> pomiar;optymalizacja|konstruowanie;planowanie|precyzja|współpraca;16-30;4-5;25-35 min;jedną kartka, nożyczki, taśma opcjonalnie;1;4;5;3;TAK;TAK;2;TAK;po 8 min zakazac użycia taśmy;Macie wycisnąć maksymalny wynik z jednej kartki.;STEM;S004 Science Buddies Paper STEM;https://www.sciencebuddies.org/blog/paper-science-activities;Dobre jako szybka rywalizacja;ostroznie z nozyczkami;Kandydat;17
A009;Folia kontra ładunek;Zespoły budują łódkę z folii aluminiowej, która utrzyma najwięcej monet bez zatonięcia.;prototyp -> test wyporności -> ranking;konstruowanie|rywalizacja;testowanie|współpraca|optymalizacja;16-30;4-5;35-45 min;folia, miska z woda, monety;2;5;5;4;WARUNKOWO;WARUNKOWO;4;TAK;po pierwszym teście zmniejszyc powierzchnię folii;Macie zrobić łódkę, która utrzyma największy ładunek.;STEM;S003 DiscoverE;https://discovere.org/student-activities/times/45-minutes-or-less/;Dziala lepiej w sali z dostępem do wody;rozlana woda;Kandydat;17
A010;Katapulta z biura;Zespoły budują prostą wyrzutnię z gumek, patyczków lub łyżek i celują papierową kulką do stref punktowych.;prototyp -> test celności -> poprawa;konstruowanie|gry;projektowanie|pomiar|rywalizacja;16-30;4-5;45 min;gumki, patyczki, łyżki, papier;2;5;5;4;TAK;TAK;4;TAK;po rundzie zmienić punktacje na najnizszy koszt materiałów;Macie zbudować wyrzutnię i trafić w cel.;STEM;S003 DiscoverE;https://discovere.org/student-activities/times/45-minutes-or-less/;Atrakcyjne, ale wymaga jasnych zasad bezpieczeństwa;strzelanie w ludzi;Kandydat;17
